filename,electrode_ind,electrode_num,port,CAR_group
amp-A-000.dat,0,0,A,GC
amp-A-001.dat,1,1,A,GC
amp-A-002.dat,2,2,A,GC
amp-A-003.dat,3,3,A,GC
amp-A-004.dat,4,4,A,GC
amp-A-005.dat,5,5,A,GC
amp-A-006.dat,6,6,A,GC
amp-A-007.dat,7,7,A,GC
amp-A-008.dat,8,8,A,GC
amp-A-009.dat,9,9,A,GC
amp-A-010.dat,10,10,A,GC
amp-A-011.dat,11,11,A,GC
amp-A-012.dat,12,12,A,GC
amp-A-013.dat,13,13,A,GC
amp-A-014.dat,14,14,A,GC
amp-A-015.dat,15,15,A,GC
amp-A-016.dat,16,16,A,PC
amp-A-017.dat,17,17,A,PC
amp-A-018.dat,18,18,A,PC
amp-A-019.dat,19,19,A,PC
amp-A-020.dat,20,20,A,PC
amp-A-021.dat,21,21,A,PC
amp-A-022.dat,22,22,A,PC
amp-A-023.dat,23,23,A,PC
amp-A-024.dat,24,24,A,PC
amp-A-025.dat,25,25,A,PC
amp-A-026.dat,26,26,A,PC
amp-A-027.dat,27,27,A,PC
amp-A-028.dat,28,28,A,PC
amp-A-029.dat,29,29,A,PC
amp-A-030.dat,30,30,A,PC
amp-A-031.dat,31,31,A,PC
amp-A-032.dat,32,32,A,PC
amp-A-033.dat,33,33,A,PC
amp-A-034.dat,34,34,A,PC
amp-A-035.dat,35,35,A,PC
amp-A-036.dat,36,36,A,PC
amp-A-037.dat,37,37,A,PC
amp-A-038.dat,38,38,A,PC
amp-A-039.dat,39,39,A,PC
amp-A-040.dat,40,40,A,PC
amp-A-041.dat,41,41,A,PC
amp-A-042.dat,42,42,A,PC
amp-A-043.dat,43,43,A,PC
amp-A-044.dat,44,44,A,PC
amp-A-045.dat,45,45,A,PC
amp-A-046.dat,46,46,A,PC
amp-A-047.dat,47,47,A,PC
amp-A-048.dat,48,48,A,GC
amp-A-049.dat,49,49,A,GC
amp-A-050.dat,50,50,A,GC
amp-A-051.dat,51,51,A,GC
amp-A-052.dat,52,52,A,GC
amp-A-053.dat,53,53,A,GC
amp-A-054.dat,54,54,A,GC
amp-A-055.dat,55,55,A,GC
amp-A-056.dat,56,56,A,GC
amp-A-057.dat,57,57,A,GC
amp-A-058.dat,58,58,A,GC
amp-A-059.dat,59,59,A,GC
amp-A-060.dat,60,60,A,GC
amp-A-061.dat,61,61,A,GC
amp-A-062.dat,62,62,A,GC
amp-A-063.dat,63,63,A,GC
